FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
20/02/2026,09:30:07,Balcón,23.9,C,64,Media,eb007de949df61414afvyg,
20/02/2026,09:30:07,Interior,25,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,09:45:06,Balcón,23.9,C,64,Media,eb007de949df61414afvyg,
20/02/2026,09:45:06,Interior,25,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,10:00:07,Balcón,24.4,C,63,Media,eb007de949df61414afvyg,
20/02/2026,10:00:07,Interior,25,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,10:15:07,Balcón,24.4,C,63,Media,eb007de949df61414afvyg,
20/02/2026,10:15:07,Interior,25,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,10:30:06,Balcón,24.4,C,63,Media,eb007de949df61414afvyg,
20/02/2026,10:30:06,Interior,25.3,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,10:45:07,Balcón,24.9,C,60,Media,eb007de949df61414afvyg,
20/02/2026,10:45:07,Interior,25.3,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,11:00:07,Balcón,24.9,C,60,Media,eb007de949df61414afvyg,
20/02/2026,11:00:07,Interior,25.3,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,11:15:06,Balcón,25.4,C,58,Media,eb007de949df61414afvyg,
20/02/2026,11:15:06,Interior,25.3,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,11:30:06,Balcón,25.4,C,58,Media,eb007de949df61414afvyg,
20/02/2026,11:30:06,Interior,25.5,C,56,Media,eb849849b3155b7110det4,
20/02/2026,11:45:07,Balcón,25.4,C,58,Media,eb007de949df61414afvyg,
20/02/2026,11:45:07,Interior,25.5,C,56,Media,eb849849b3155b7110det4,
20/02/2026,12:00:07,Balcón,25.8,C,53,Media,eb007de949df61414afvyg,
20/02/2026,12:00:07,Interior,25.5,C,56,Media,eb849849b3155b7110det4,
20/02/2026,12:15:08,Balcón,26.1,C,48,Media,eb007de949df61414afvyg,
20/02/2026,12:15:08,Interior,25.8,C,52,Alta,eb849849b3155b7110det4,
20/02/2026,12:30:07,Balcón,26.1,C,48,Media,eb007de949df61414afvyg,
20/02/2026,12:30:07,Interior,25.8,C,52,Alta,eb849849b3155b7110det4,
20/02/2026,12:45:06,Balcón,26.1,C,48,Media,eb007de949df61414afvyg,
20/02/2026,12:45:06,Interior,25.8,C,52,Alta,eb849849b3155b7110det4,
20/02/2026,13:00:07,Balcón,26.3,C,43,Media,eb007de949df61414afvyg,
20/02/2026,13:00:07,Interior,25.8,C,52,Alta,eb849849b3155b7110det4,
20/02/2026,13:15:06,Balcón,26.3,C,43,Media,eb007de949df61414afvyg,
20/02/2026,13:15:06,Interior,26,C,48,Media,eb849849b3155b7110det4,
20/02/2026,13:30:06,Balcón,26.6,C,48,Media,eb007de949df61414afvyg,
20/02/2026,13:30:06,Interior,26,C,48,Media,eb849849b3155b7110det4,
20/02/2026,13:45:07,Balcón,26.6,C,48,Media,eb007de949df61414afvyg,
20/02/2026,13:45:07,Interior,26,C,48,Media,eb849849b3155b7110det4,
20/02/2026,14:00:07,Balcón,27.1,C,50,Media,eb007de949df61414afvyg,
20/02/2026,14:00:07,Interior,26,C,48,Media,eb849849b3155b7110det4,
20/02/2026,14:15:07,Balcón,27.1,C,50,Media,eb007de949df61414afvyg,
20/02/2026,14:15:07,Interior,26.2,C,52,Media,eb849849b3155b7110det4,
20/02/2026,14:30:07,Balcón,27.1,C,50,Media,eb007de949df61414afvyg,
20/02/2026,14:30:07,Interior,26.2,C,52,Media,eb849849b3155b7110det4,
20/02/2026,14:45:06,Balcón,27.5,C,49,Media,eb007de949df61414afvyg,
20/02/2026,14:45:06,Interior,26.2,C,52,Media,eb849849b3155b7110det4,
20/02/2026,15:00:07,Balcón,27.5,C,49,Media,eb007de949df61414afvyg,
20/02/2026,15:00:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,15:15:06,Balcón,28,C,48,Media,eb007de949df61414afvyg,
20/02/2026,15:15:06,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,15:30:07,Balcón,28,C,48,Media,eb007de949df61414afvyg,
20/02/2026,15:30:07,Interior,26.4,C,53,Alta,eb849849b3155b7110det4,
20/02/2026,15:45:07,Balcón,28.5,C,44,Media,eb007de949df61414afvyg,
